NH3NO_raw,DO_raw,interaction_shap_value
4.2,7.49,-0.00016639568
15.2,0.1,-0.02829957
4.1,9.2,0.00066430867
6.2,4.5,0.006680442
2.6,7.3,-0.0071145613
3.9,6.17,0.0012335107
2.7,1.5,-0.0032730326
3.2,2.4,0.00057022646
3.5,5.1,-0.0017674714
4.1,4.7,0.0013346085
5.6,0.0,0.03965698
3.7,2.2,-0.0032195263
7.4,9.05,-0.009705944
6.3,4.3,0.012611019
1.6,10.5,0.01915
3.1,5.9,-0.002046764
5.99,7.6,0.0043014856
8.3,2.1,-0.010499607
3.2,9.24,0.012360722
3.3,4.9,-0.0027765464
4.5,7.24,0.00019120146
6.4,10.35,-0.069360174
4.2,8.0,0.0006156955
5.0,6.5,0.016787315
4.4,4.2,0.0024667066
3.0,8.9,0.009229185
3.0,7.3,-0.0046418253
3.1,1.1,-0.002779439
1.7,10.6,0.019124463
3.1,5.7,-0.001961667
4.2,4.2,0.002288485
4.6,7.7,0.0064021163
7.2,5.3,-0.02217024
3.3,1.5,-0.00082339346
5.6,4.6,0.007511189
2.9,10.03,0.018456537
2.7,6.0,-0.0057382295
6.1,8.7,0.014765626
8.4,8.66,0.005838618
3.5,6.0,-0.004693509
4.5,2.8,0.002636116
3.1,4.8,-0.0018997263
2.3,11.92,0.016943716
2.3,11.09,0.016514756
8.9,3.3,-0.006195333
7.3,5.5,0.008687683
5.4,9.86,-0.052698046
2.6,11.43,0.018788353
2.9,10.11,0.019006561
4.2,4.0,0.0027433522
4.2,7.8,0.0011293087
4.2,7.7,0.00061169267
7.1,5.6,0.0018502718
6.8,2.4,0.0019146167
5.02,0.6,0.012467235
4.2,6.4,0.00016214699
1.9,10.5,0.019314922
3.2,9.4,0.012754157
5.1,9.5,-0.052629977
2.5,7.17,-0.006546694
3.0,10.56,0.012281664
3.1,8.3,-0.005699344
4.2,2.6,0.00301373
2.6,9.2,0.018540923
5.34,4.5,0.013620738
4.0,9.6,-0.007745482
2.8,9.5,0.01856266
3.9,6.3,0.0024580127
3.5,3.8,-0.0004502274
5.8,3.7,0.00786759
3.1,7.2,-0.0028047785
2.2,4.0,-0.004359221
5.8,7.6,0.014733344
1.9,2.5,-0.003025651
4.2,4.4,0.0006626528
3.8,2.6,0.003483327
2.7,8.2,-0.0061268136
3.8,6.1,0.001519708
3.0,7.6,-0.0041753286
9.8,0.0,-0.032124832
4.3,5.0,0.0008680932
8.1,8.82,0.0015203981
3.1,6.8,-0.0055121323
2.5,7.4,-0.003000997
5.1,3.3,0.018097885
4.2,8.5,-0.0018317197
4.51,2.4,0.0042504743
3.1,2.5,-0.0011704545
3.5,5.9,-0.0019629467
7.2,2.2,0.0071396306
3.3,1.3,-0.003248252
2.5,11.8,0.018540915
2.2,11.72,0.0189699
2.6,4.5,-0.002112532
2.5,10.9,0.018438444
11.5,0.7,-0.04543747
3.9,3.1,0.002939038
2.8,6.7,-0.006381864
3.5,9.71,0.012473565
4.4,1.96,0.0028702617
3.4,3.1,0.00044890307
2.9,1.7,-0.004945282
6.3,5.4,0.0055199163
5.1,2.5,0.014790984
3.4,3.8,-0.0008816924
2.6,7.7,-0.0033144718
3.2,2.4,-0.0014037723
5.3,7.6,0.017141981
3.2,3.4,-0.00051040575
3.6,3.6,-0.0022414308
2.1,5.3,-0.0024321126
2.7,5.1,-0.0024298478
2.9,10.19,0.01905452
4.7,8.3,0.0051089916
2.0,6.6,-0.0056376415
2.8,9.91,0.01820504
3.5,1.4,-0.002779439
6.2,9.87,-0.06961168
3.2,2.8,-0.0025034696
4.2,5.8,0.00057034567
6.3,3.2,0.013126249
3.5,8.31,-0.0055914484
2.2,6.2,-0.005044345
2.8,7.3,-0.006457038
3.1,10.44,0.012281671
6.5,4.7,0.0014905601
5.31,4.1,0.013672549
2.2,5.6,-0.004346393
5.21,2.3,0.016362421
3.4,4.9,-0.0041828933
4.9,7.7,0.018910319
2.2,7.0,-0.006576688
2.5,6.7,-0.006135676
2.8,0.1,-0.011078458
5.4,1.5,0.016315002
10.4,4.7,-0.0030631265
1.2,10.2,0.018814139
4.3,8.1,0.0011973921
1.5,9.3,0.019124478
