Date,CODMBR,Diff1,Hampel,STL,Wavelet-strong
2022/7/13,162,0,0,0,0
2022/7/14,168,0,0,0,0
2022/7/15,171,0,0,0,0
2022/7/16,163,0,0,0,0
2022/7/17,145,0,0,0,0
2022/7/18,152,0,0,0,0
2022/7/19,158,0,0,0,0
2022/7/20,150,0,0,0,0
2022/7/21,178,0,0,0,1
2022/7/22,147,0,0,0,0
2022/7/23,158,0,0,0,0
2022/7/24,166,0,0,0,0
2022/7/25,175,0,0,0,0
2022/7/26,167,0,0,0,0
2022/7/27,188,0,0,1,1
2022/7/28,149,1,0,0,0
2022/7/29,151,0,0,0,0
2022/7/30,132,0,0,0,0
2022/7/31,145,0,0,0,0
2022/8/1,157,0,0,0,0
2022/8/2,143,0,0,0,0
2022/8/3,140,0,0,0,0
2022/8/4,146,0,0,0,0
2022/8/5,145,0,0,0,0
2022/8/6,153,0,0,0,0
2022/8/7,146,0,0,0,0
2022/8/8,142,0,0,0,0
2022/8/9,152,0,0,0,0
2022/8/10,161,0,0,1,0
2022/8/11,136,0,0,0,0
2022/8/12,196,1,1,1,1
2022/8/13,117,1,0,0,0
2022/8/14,113,0,0,0,0
2022/8/15,107,0,0,0,0
2022/8/16,111,0,0,0,0
2022/8/17,108,0,0,0,0
2022/8/18,125,0,0,0,0
2022/8/19,78,1,0,1,0
2022/8/20,103,0,0,0,0
2022/8/21,121,0,0,0,0
2022/8/22,139,0,0,1,0
2022/8/23,126,0,0,0,0
2022/8/24,134,0,0,0,0
2022/8/25,138,0,0,0,0
2022/8/26,107,0,0,0,0
2022/8/27,102,0,0,0,0
2022/8/28,111,0,0,0,0
2022/8/29,71,0,0,0,0
2022/8/30,93,0,0,0,0
2022/8/31,87,0,0,0,0
2022/9/1,98,0,0,0,0
2022/9/2,103,0,0,0,0
2022/9/3,95,0,0,0,0
2022/9/4,102,0,0,0,0
2022/9/5,92,0,0,0,0
2022/9/6,131,0,0,0,0
2022/9/7,146,0,0,1,0
2022/9/8,112,0,0,0,0
2022/9/9,135,0,0,0,0
2022/9/10,128,0,0,0,0
2022/9/11,119,0,0,0,0
2022/9/12,126,0,0,0,0
2022/9/13,118,0,0,0,0
2022/9/14,89,0,0,0,0
2022/9/15,70,0,0,0,0
2022/9/16,81,0,0,0,0
2022/9/17,92,0,0,0,0
2022/9/18,102,0,0,0,0
2022/9/19,94,0,0,0,0
2022/9/20,98,0,0,0,0
2022/9/21,82,0,0,0,0
2022/9/22,71,0,0,0,0
2022/9/23,75,0,0,0,0
2022/9/24,89,0,0,0,0
2022/9/25,97,0,0,0,0
2022/9/26,106,0,0,0,0
2022/9/27,131,0,0,0,0
2022/9/28,107,0,0,0,0
2022/9/29,159,1,1,1,0
2022/9/30,157,0,1,1,0
2022/10/1,162,0,1,1,0
2022/10/2,78,1,0,1,1
2022/10/3,95,0,0,0,0
2022/10/4,103,0,0,0,0
2022/10/5,83,0,0,0,0
2022/10/6,94,0,0,0,0
2022/10/7,102,0,0,0,0
2022/10/8,73,0,0,0,0
