,pH2i,pHO,pHMBR
975,8.3,7,7
976,8.3,7,7
977,8.3,7,7
978,8.6,7,7
979,8.9,6.6,6.6
980,8.5,6.8,6.8
981,8.6,6.8,6.8
982,8.5,6.8,6.8
983,8.5,6.8,6.8
984,8.5,6.6,6.6
985,8.7,6.6,6.6
986,8.3,6.7,6.7
987,8.5,6.6,6.6
988,8.3,6.8,6.8
989,8.2,6.6,6.6
990,8.3,6.6,6.6
991,8.3,6.5,6.5
992,8.3,6.6,6.6
993,8.5,6.5,6.5
994,8.1,6.5,6.5
995,8.2,6.5,6.5
996,8.4,6.5,6.5
997,8.5,6.4,6.4
998,8.1,6.4,6.4
999,8.4,6.4,6.4
1000,8.4,6.4,6.4
1001,8.6,6.4,6.4
1002,8.4,6.4,6.4
1003,8.3,6.4,6.4
1004,8.5,6.4,6.4
1005,8.4,6.3,6.3
1006,8.2,6.3,6.3
1007,8.5,6.3,6.3
1008,8.3,6.3,6.3
1009,8.6,6.3,6.3
1010,8.2,6.3,6.3
1011,8.3,6.3,6.3
1012,8.5,6.3,6.3
1013,8.6,6.3,6.3
1014,8.6,6.3,6.3
1015,8.6,6.3,6.3
1016,8.6,6.3,6.3
1017,8.4,6.4,6.4
1018,8.5,6.4,6.4
1019,8.3,6.4,6.4
1020,8.5,6.4,6.4
1021,8.5,6.3,6.3
1022,8.2,6.3,6.3
1023,8.5,6.3,6.3
1024,8.5,6.3,6.3
1025,8.4,6.3,6.3
1026,8.6,6.4,6.4
1027,8.5,6.4,6.4
1028,8.3,6.4,6.4
1029,8.1,6.2,6.2
1030,8.1,6.3,6.3
1031,8.2,6.2,6.2
1032,8.2,6.3,6.3
1033,8.4,6.3,6.3
1034,8.5,6.3,6.3
