Date,CODMBR,rolling_median,raw_signed_dev
2023/8/25,69,0,-14
2023/8/26,70,0,-13
2023/8/27,82,0,-1
2023/8/28,88,0,5
2023/8/29,77,0,-6
2023/8/30,89,0,6
2023/8/31,64,0,-19
2023/9/1,82,0,-4
2023/9/2,71,1,-16
2023/9/3,101,1,14
2023/9/4,107,1,20
2023/9/5,94,0,8
2023/9/6,86,0,0
2023/9/7,105,0,19
2023/9/8,93,0,7
2023/9/9,87,0,1
2023/9/10,84,0,-2
2023/9/11,86,0,0
2023/9/12,73,0,-11
2023/9/13,63,0,-18
2023/9/14,68,0,-8
2023/9/15,101,0,25
2023/9/16,75,0,-1
2023/9/17,76,0,0
2023/9/18,69,0,-7
2023/9/19,70,0,-6
2023/9/20,81,0,5
2023/9/21,76,0,0
2023/9/22,81,0,3
2023/9/23,86,0,8
2023/9/24,90,0,9
2023/9/25,70,0,-11
2023/9/26,81,0,0
2023/9/27,70,0,-11
2023/9/28,78,0,-6
2023/9/29,85,0,0
2023/9/30,89,0,4
2023/10/1,85,0,0
2023/10/2,80,0,-5
2023/10/3,85,0,0
2023/10/4,89,0,2
2023/10/5,84,0,-5
2023/10/6,97,0,8
2023/10/7,89,0,0
2023/10/8,94,0,0
2023/10/9,87,0,-10
2023/10/10,113,0,15
2023/10/11,108,0,5
2023/10/12,115,0,7
2023/10/13,98,4,-10
2023/10/14,103,4,-7
2023/10/15,110,5,-3
2023/10/16,120,5,7
2023/10/17,108,6,-7
2023/10/18,124,5,9
2023/10/19,119,4,4
2023/10/20,116,0,6
2023/10/21,120,0,10
2023/10/22,125,0,15
2023/10/23,108,0,0
2023/10/24,115,-1,7
2023/10/25,107,0,-1
2023/10/26,101,0,-7
2023/10/27,99,0,-9
2023/10/28,84,0,-23
